Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
-2.577828000,0,0,0,0,0
-0.353292250,0,0,1,1,0
-0.353286000,0,0,1,1,1
-0.353275250,0,0,1,0,1
-0.353262500,0,0,1,1,1
-0.353182000,1,0,1,1,1
-0.353181750,0,0,1,1,1
-0.353181500,1,0,1,1,1
-0.353181250,0,0,1,1,1
-0.353181000,1,0,1,1,1
-0.353180750,0,0,1,1,1
-0.353180500,1,0,1,1,1
-0.353179500,0,0,1,1,1
-0.353179000,1,0,1,1,1
-0.353178500,0,0,1,1,1
-0.353178250,1,0,1,1,1
-0.353174500,0,0,1,1,1
-0.353161500,1,0,1,1,1
-0.353161250,0,0,1,1,1
-0.353152250,1,0,1,1,1
-0.353152000,0,0,1,1,1
-0.353149500,1,0,1,1,1
-0.353149250,0,0,1,1,1
-0.353149000,1,0,1,1,1
-0.353148750,0,0,1,1,1
-0.353146000,1,0,1,1,1
-0.353145750,0,0,1,1,1
-0.353145500,1,0,1,1,1
-0.353145000,0,0,1,1,1
-0.353142000,1,0,1,1,1
-0.353141500,0,0,1,1,1
-0.353139000,1,0,1,1,1
-0.353138500,0,0,1,1,1
-0.353137750,1,0,1,1,1
-0.353136500,0,0,1,1,1
-0.353136250,1,0,1,1,1
-0.353136000,0,0,1,1,1
-0.353134500,1,0,1,1,1
-0.353134250,0,0,1,1,1
-0.353133750,1,0,1,1,1
-0.353133250,0,0,1,1,1
-0.353132750,1,0,1,1,1
-0.353132500,0,0,1,1,1
-0.353131750,1,0,1,1,1
-0.353131500,0,0,1,1,1
-0.353129250,1,0,1,1,1
-0.353129000,0,0,1,1,1
-0.353128750,1,0,1,1,1
-0.353128500,0,0,1,1,1
-0.353125500,1,0,1,1,1
-0.353125000,0,0,1,1,1
-0.353124500,1,0,1,1,1
-0.353124000,0,0,1,1,1
-0.353123500,1,0,1,1,1
-0.353122000,0,0,1,1,1
-0.353121750,1,0,1,1,1
-0.353113250,0,0,1,1,1
-0.353113000,1,0,1,1,1
-0.353111750,0,0,1,1,1
-0.353111250,1,0,1,1,1
-0.115270000,1,0,1,0,0
-0.115269000,0,0,0,0,0
-0.010513250,0,0,0,1,1
-0.000000000,0,1,0,1,1
0.001054750,0,1,0,0,1
0.001055000,0,1,0,1,1
0.001055250,0,1,0,0,0
0.001055500,0,1,0,1,0
0.001055750,0,1,0,0,1
0.001056000,0,1,0,1,1
0.001056250,0,1,0,0,0
0.001056500,0,1,0,1,0
0.001056750,0,1,0,0,0
0.001057000,0,1,0,1,0
0.001057250,0,1,0,0,0
0.001057500,0,1,0,1,0
0.001057750,0,1,0,0,1
0.001058000,0,1,0,1,1
0.001058250,0,1,0,0,0
0.001058500,0,1,0,1,0
0.001058750,0,1,0,1,1
0.001060750,0,1,0,0,1
0.001061000,0,1,0,1,1
0.001061250,0,1,0,0,0
0.001061500,0,1,0,1,0
0.001061750,0,1,0,0,1
0.001062000,0,1,0,1,1
0.001062250,0,1,0,0,0
0.001062500,0,1,0,1,0
0.001062750,0,1,0,0,0
0.001063000,0,1,0,1,0
0.001063250,0,1,0,0,0
0.001063500,0,1,0,1,0
0.001063750,0,1,0,0,0
0.001064000,0,1,0,1,0
0.001064250,0,1,0,0,1
0.001064500,0,1,0,1,1
0.001066750,0,1,0,0,1
0.001067000,0,1,0,1,1
0.001067250,0,1,0,0,1
0.001067500,0,1,0,1,1
0.001067750,0,1,0,0,0
0.001068000,0,1,0,1,0
0.001068250,0,1,0,0,0
0.001068500,0,1,0,1,0
0.001068750,0,1,0,0,0
0.001069000,0,1,0,1,0
0.001069250,0,1,0,0,0
0.001069500,0,1,0,1,0
0.001069750,0,1,0,0,0
0.001070000,0,1,0,1,0
0.001070250,0,1,0,0,0
0.001070500,0,1,0,1,0
0.001070750,0,1,0,1,1
0.001072750,0,1,0,0,0
0.001073000,0,1,0,1,0
0.001073250,0,1,0,0,0
0.001073500,0,1,0,1,0
0.001073750,0,1,0,0,1
0.001074000,0,1,0,1,1
0.001074250,0,1,0,0,0
0.001074500,0,1,0,1,0
0.001074750,0,1,0,0,0
0.001075000,0,1,0,1,0
